Authors,Title,Year,Source title,Volume,Issue,Page start,Cited by,DOI,Affiliations,Abstract,Author Keywords,References,Document Type,Language of Original Document,Publisher,ISSN
Epsilon E.; Epsilon E.; Kapa D.; Iota E.,Argentina and Fiscal capacity in subnational governments: evidence from Revenue sharing [registro sintetico 025],2010,National Tax Journal,1,1,1,15,10.5555/exemplo.0025,"Georgia State University, Atlanta, United States; Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de municipal finance, tax competition em entes subnacionais.",municipal finance; tax competition; tax reform; fiscal capacity; subnational debt,"IOTA E., 1984, INTERNATIONAL TAX AND PUBLIC FINANCE, V27, P250; ETA D., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V58, P301; ZETA F., 1996, NOVA ECONOMIA, V53, P48; GAMA C., 1990, JOURNAL OF PUBLIC ECONOMICS, V5, P160; IOTA B., 1983, NOVA ECONOMIA, V58, P151; ZETA E., 2008, PUBLIUS: THE JOURNAL OF FEDERALISM, V41, P81; IOTA C., 2006, REVISTA DE ADMINISTRACAO PUBLICA, V14, P259; DELTA D., 1985, NATIONAL TAX JOURNAL, V41, P290; KAPA A., 1991, REVISTA DE ADMINISTRACAO PUBLICA, V41, P326; ALFA F., 1993, NATIONAL TAX JOURNAL, V51, P2; EPSILON F., 2002, REVISTA DE ADMINISTRACAO PUBLICA, V1, P156; ETA A., 1998, NATIONAL TAX JOURNAL, V43, P16; DELTA B., 1995, GESTION Y POLITICA PUBLICA, V36, P291; EPSILON F., 2008, REVISTA DE ADMINISTRACAO PUBLICA, V33, P74; KAPA B., 1993, REVISTA DE ADMINISTRACAO PUBLICA, V8, P75; GAMA E., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V7, P15; BETA A., 1985, REVISTA DE ADMINISTRACAO PUBLICA, V32, P240; KAPA D., 2005, GESTION Y POLITICA PUBLICA, V4, P333; ALFA F., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V21, P74; DELTA C., 1988, INTERNATIONAL TAX AND PUBLIC FINANCE, V3, P137; BETA E., 1982, JOURNAL OF PUBLIC ECONOMICS, V13, P231; KAPA D., 1980, NATIONAL TAX JOURNAL, V15, P203; KAPA A., 1994, NATIONAL TAX JOURNAL, V40, P123; DELTA B., 1981, INTERNATIONAL TAX AND PUBLIC FINANCE, V60, P301; GAMA C., 1980, GESTION Y POLITICA PUBLICA, V53, P234; EPSILON D., 1999, JOURNAL OF PUBLIC ECONOMICS, V57, P254; BETA B., 2001, PUBLIUS: THE JOURNAL OF FEDERALISM, V44, P368; KAPA B., 1993, JOURNAL OF PUBLIC ECONOMICS, V26, P365",Article,English,Editora Sintetica,00280283
Beta B.; Gama C.,Municipal finance revisited: State capacity under Intergovernmental transfers [registro sintetico 026],2016,Revista de Administracao Publica,1,1,1,8,10.5555/exemplo.0026,"Universidade Federal de Pernambuco, Recife, Brazil; University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, fiscal federalism em entes subnacionais.",intergovernmental transfers; fiscal federalism; local government; tax competition,"DELTA D., 1987, JOURNAL OF PUBLIC ECONOMICS, V43, P13; ZETA B., 1993, NOVA ECONOMIA, V9, P48; DELTA C., 2003, GESTION Y POLITICA PUBLICA, V51, P66; IOTA D., 2000, GESTION Y POLITICA PUBLICA, V51, P123; GAMA C., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V47, P208; ETA F., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V14, P153; TETA E., 1992, INTERNATIONAL TAX AND PUBLIC FINANCE, V55, P232; GAMA F., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V58, P226; KAPA C., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V26, P312; IOTA B., 1990, GESTION Y POLITICA PUBLICA, V49, P63; IOTA A., 2003, GESTION Y POLITICA PUBLICA, V18, P377; ETA A., 2007, NOVA ECONOMIA, V37, P75; EPSILON A., 1998, NOVA ECONOMIA, V6, P356; GAMA B., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P56; BETA E., 2015, JOURNAL OF PUBLIC ECONOMICS, V52, P257; EPSILON B., 1988, NOVA ECONOMIA, V20, P46; DELTA C., 1990, GESTION Y POLITICA PUBLICA, V46, P205; EPSILON C., 1998, GESTION Y POLITICA PUBLICA, V59, P238; GAMA C., 1991, NATIONAL TAX JOURNAL, V24, P348",Article,English,Editora Sintetica,00347612
Eta A.; Teta B.; Eta C.,State capacity and Fiscal decentralization in subnational governments: evidence from Subnational debt [registro sintetico 027],2022,Revista de Administracao Publica,1,1,1,3,10.5555/exemplo.0027,"Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de fiscal decentralization, intergovernmental transfers em entes subnacionais.",fiscal decentralization; intergovernmental transfers; local government; regional inequality; state capacity,"ETA F., 1993, REVISTA DE ADMINISTRACAO PUBLICA, V20, P323; GAMA E., 2018, INTERNATIONAL TAX AND PUBLIC FINANCE, V37, P255; IOTA C., 2021, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P351; KAPA C., 2021, NATIONAL TAX JOURNAL, V8, P392; EPSILON A., 2020, GESTION Y POLITICA PUBLICA, V38, P311; ALFA B., 2013, NATIONAL TAX JOURNAL, V3, P164; DELTA C., 2015, NATIONAL TAX JOURNAL, V27, P356; ETA F., 2011, GESTION Y POLITICA PUBLICA, V15, P144; IOTA A., 2003, PUBLIUS: THE JOURNAL OF FEDERALISM, V29, P175; IOTA F., 2014, GESTION Y POLITICA PUBLICA, V54, P322; TETA E., 1993, NOVA ECONOMIA, V45, P106; ETA F., 2008, GESTION Y POLITICA PUBLICA, V60, P399",Article,English,Editora Sintetica,00347612
Alfa F.; Iota C.,Measuring Fiscal capacity across municipalities: Fiscal decentralization and Subnational debt [registro sintetico 028],2005,Nova Economia,1,1,1,16,10.5555/exemplo.0028,"Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de tax effort, intergovernmental transfers em entes subnacionais.",tax effort; intergovernmental transfers; state capacity,"EPSILON B., 1979, NOVA ECONOMIA, V46, P250; TETA B., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V1, P264; TETA B., 2004, NOVA ECONOMIA, V23, P358; EPSILON B., 2003, NOVA ECONOMIA, V10, P301; KAPA B., 1985, NOVA ECONOMIA, V53, P61; IOTA D., 1999, INTERNATIONAL TAX AND PUBLIC FINANCE, V44, P342; GAMA E., 1989, GESTION Y POLITICA PUBLICA, V50, P208; DELTA A., 1997, JOURNAL OF PUBLIC ECONOMICS, V1, P185; TETA B., 1976, NATIONAL TAX JOURNAL, V58, P144; EPSILON B., 1978, NOVA ECONOMIA, V20, P230; BETA B., 1985, PUBLIUS: THE JOURNAL OF FEDERALISM, V30, P292; ZETA C., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V5, P24; ALFA D., 1999, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P383; ZETA F., 1993, JOURNAL OF PUBLIC ECONOMICS, V7, P331",Article,English,Editora Sintetica,01036351
Teta B.; Iota C.; Alfa C.; Beta F.,Local government and Fiscal federalism in subnational governments: evidence from Argentina [registro sintetico 029],2016,Nova Economia,1,1,1,27,10.5555/exemplo.0029,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de municipal finance, fiscal equalization em entes subnacionais.",municipal finance; fiscal equalization; soft budget constraint; regional inequality,"ZETA B., 2016, NOVA ECONOMIA, V34, P350; GAMA A., 2011, NOVA ECONOMIA, V54, P159; KAPA C., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V42, P183; ZETA B., 1997, INTERNATIONAL TAX AND PUBLIC FINANCE, V36, P190; EPSILON B., 1987, NATIONAL TAX JOURNAL, V7, P291; ETA A., 2016, INTERNATIONAL TAX AND PUBLIC FINANCE, V32, P217; TETA F., 1991, JOURNAL OF PUBLIC ECONOMICS, V39, P298; BETA B., 2008, INTERNATIONAL TAX AND PUBLIC FINANCE, V11, P71; TETA F., 1998, NATIONAL TAX JOURNAL, V3, P226; TETA B., 1992, NOVA ECONOMIA, V24, P2; ALFA E., 2013, GESTION Y POLITICA PUBLICA, V51, P262; ETA B., 1995, NATIONAL TAX JOURNAL, V43, P29; IOTA F., 1999, JOURNAL OF PUBLIC ECONOMICS, V5, P225; ALFA F., 2016, GESTION Y POLITICA PUBLICA, V12, P372; GAMA D., 1995, NATIONAL TAX JOURNAL, V29, P289; ZETA E., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P278; ZETA E., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V35, P321",Article,English,Editora Sintetica,01036351
Kapa E.; Beta A.; Zeta E.; Epsilon E.,Tax competition and Fiscal capacity in subnational governments: evidence from Regional inequality [registro sintetico 030],2023,International Tax and Public Finance,1,1,1,6,10.5555/exemplo.0030,"University of Toronto, Toronto, Canada; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de tax competition, subnational debt em entes subnacionais.",tax competition; subnational debt; fiscal capacity; municipal finance; soft budget constraint,"ZETA E., 2011, PUBLIUS: THE JOURNAL OF FEDERALISM, V24, P272; DELTA E., 2007, PUBLIUS: THE JOURNAL OF FEDERALISM, V17, P59; DELTA B., 2023, INTERNATIONAL TAX AND PUBLIC FINANCE, V36, P384; BETA B., 2020, GESTION Y POLITICA PUBLICA, V17, P333; BETA B., 2009, NOVA ECONOMIA, V17, P364; TETA B., 2010, PUBLIUS: THE JOURNAL OF FEDERALISM, V15, P278; KAPA F., 1996, NOVA ECONOMIA, V33, P302; KAPA A., 2020, PUBLIUS: THE JOURNAL OF FEDERALISM, V44, P38; TETA B., 2020, REVISTA DE ADMINISTRACAO PUBLICA, V36, P260; BETA F., 2023, NOVA ECONOMIA, V33, P53; TETA F., 2005, REVISTA DE ADMINISTRACAO PUBLICA, V11, P99; KAPA D., 2017, NATIONAL TAX JOURNAL, V9, P192; KAPA A., 2005, INTERNATIONAL TAX AND PUBLIC FINANCE, V4, P191; ALFA A., 2015, REVISTA DE ADMINISTRACAO PUBLICA, V14, P236; EPSILON A., 2015, INTERNATIONAL TAX AND PUBLIC FINANCE, V28, P45; KAPA B., 2011, NATIONAL TAX JOURNAL, V59, P373; ZETA B., 2004, NOVA ECONOMIA, V54, P175; ALFA C., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V24, P263; IOTA C., 2016, PUBLIUS: THE JOURNAL OF FEDERALISM, V3, P310; ZETA A., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V21, P309; BETA A., 2022, NOVA ECONOMIA, V16, P131; ZETA B., 2015, PUBLIUS: THE JOURNAL OF FEDERALISM, V2, P298; TETA A., 2018, NATIONAL TAX JOURNAL, V32, P57; BETA C., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V36, P149; ETA B., 2011, JOURNAL OF PUBLIC ECONOMICS, V35, P354; EPSILON D., 1993, NATIONAL TAX JOURNAL, V22, P78",Article,English,Editora Sintetica,09275940
Alfa A.; Beta B.; Kapa F.; Kapa D.,Measuring Argentina across municipalities: Tax competition and Fiscal equalization [registro sintetico 031],2016,International Tax and Public Finance,1,1,1,1,10.5555/exemplo.0031,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, soft budget constraint em entes subnacionais.",intergovernmental transfers; soft budget constraint; fiscal capacity; tax competition,"TETA C., 2004, PUBLIUS: THE JOURNAL OF FEDERALISM, V25, P182; ZETA A., 1996, REVISTA DE ADMINISTRACAO PUBLICA, V31, P171; DELTA A., 1993, PUBLIUS: THE JOURNAL OF FEDERALISM, V57, P312; ALFA F., 1990, NOVA ECONOMIA, V43, P74; EPSILON D., 1994, NATIONAL TAX JOURNAL, V33, P135; ZETA E., 2004, REVISTA DE ADMINISTRACAO PUBLICA, V38, P72; ALFA E., 2014, GESTION Y POLITICA PUBLICA, V7, P103; ETA F., 2004, NOVA ECONOMIA, V7, P186; EPSILON B., 2013, GESTION Y POLITICA PUBLICA, V10, P349; BETA C., 2016, GESTION Y POLITICA PUBLICA, V22, P379; ZETA E., 2013, NOVA ECONOMIA, V16, P180; IOTA F., 1998, JOURNAL OF PUBLIC ECONOMICS, V4, P361; ZETA F., 1996, GESTION Y POLITICA PUBLICA, V31, P258; ZETA B., 2011, INTERNATIONAL TAX AND PUBLIC FINANCE, V23, P78; GAMA B., 1986, GESTION Y POLITICA PUBLICA, V43, P233; ETA D., 1998, REVISTA DE ADMINISTRACAO PUBLICA, V50, P155; GAMA E., 1988, INTERNATIONAL TAX AND PUBLIC FINANCE, V20, P369; EPSILON C., 2009, REVISTA DE ADMINISTRACAO PUBLICA, V36, P338; ZETA A., 2015, INTERNATIONAL TAX AND PUBLIC FINANCE, V38, P41",Article,English,Editora Sintetica,09275940
Kapa C.; Teta C.; Eta F.,Subnational debt and Tax effort in subnational governments: evidence from Fiscal capacity [registro sintetico 032],2018,International Tax and Public Finance,1,1,1,17,10.5555/exemplo.0032,"University of Toronto, Toronto, Canada; Universidad de Buenos Aires, Buenos Aires, Argentina","Resumo sintetico para teste do pipeline. Trata de tax reform, fiscal capacity em entes subnacionais.",tax reform; fiscal capacity; subnational debt,"TETA B., 2016, REVISTA DE ADMINISTRACAO PUBLICA, V19, P257; BETA B., 1995, NOVA ECONOMIA, V4, P67; KAPA A., 1990, NATIONAL TAX JOURNAL, V52, P295; ZETA F., 1992, NATIONAL TAX JOURNAL, V13, P139; IOTA F., 2016, NATIONAL TAX JOURNAL, V41, P166; ALFA B., 1998, JOURNAL OF PUBLIC ECONOMICS, V56, P384; ALFA F., 2003, PUBLIUS: THE JOURNAL OF FEDERALISM, V40, P348; ZETA B., 1989, GESTION Y POLITICA PUBLICA, V27, P24; BETA F., 2007, JOURNAL OF PUBLIC ECONOMICS, V50, P254; KAPA D., 1996, PUBLIUS: THE JOURNAL OF FEDERALISM, V56, P7; ALFA C., 2006, NOVA ECONOMIA, V21, P29; ETA E., 2010, NOVA ECONOMIA, V54, P169; GAMA A., 1988, INTERNATIONAL TAX AND PUBLIC FINANCE, V14, P74; IOTA A., 1999, GESTION Y POLITICA PUBLICA, V24, P217; ZETA E., 2009, REVISTA DE ADMINISTRACAO PUBLICA, V56, P285; GAMA F., 2007, REVISTA DE ADMINISTRACAO PUBLICA, V22, P118; KAPA C., 2014, NOVA ECONOMIA, V31, P391; ALFA F., 1997, NOVA ECONOMIA, V50, P282; TETA E., 1996, JOURNAL OF PUBLIC ECONOMICS, V34, P272; EPSILON B., 1996, NATIONAL TAX JOURNAL, V36, P244",Article,English,Editora Sintetica,09275940
Gama F.; Delta D.; Beta A.,Measuring Local government across municipalities: Subnational debt and Argentina [registro sintetico 033],2003,International Tax and Public Finance,1,1,1,29,10.5555/exemplo.0033,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de intergovernmental transfers, fiscal decentralization em entes subnacionais.",intergovernmental transfers; fiscal decentralization; fiscal federalism; tax effort; soft budget constraint,"DELTA D., 2000, PUBLIUS: THE JOURNAL OF FEDERALISM, V14, P326; ZETA D., 1987, INTERNATIONAL TAX AND PUBLIC FINANCE, V21, P14; BETA F., 1996, NATIONAL TAX JOURNAL, V5, P331; ETA F., 2000, JOURNAL OF PUBLIC ECONOMICS, V4, P117; KAPA D., 1986, PUBLIUS: THE JOURNAL OF FEDERALISM, V43, P322; DELTA A., 1981, NATIONAL TAX JOURNAL, V17, P364; ETA B., 1980, JOURNAL OF PUBLIC ECONOMICS, V14, P167; ETA F., 1981, JOURNAL OF PUBLIC ECONOMICS, V57, P256; DELTA E., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V31, P394; EPSILON B., 1999, JOURNAL OF PUBLIC ECONOMICS, V19, P46; ZETA A., 1988, GESTION Y POLITICA PUBLICA, V58, P128; GAMA C., 1994, REVISTA DE ADMINISTRACAO PUBLICA, V39, P232; DELTA E., 1974, GESTION Y POLITICA PUBLICA, V14, P377; ZETA A., 1997, GESTION Y POLITICA PUBLICA, V56, P225; GAMA D., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V60, P153; ALFA A., 1977, NATIONAL TAX JOURNAL, V9, P155; GAMA E., 1996, JOURNAL OF PUBLIC ECONOMICS, V7, P385; GAMA D., 1994, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P213; ZETA F., 2002, NOVA ECONOMIA, V46, P204; ZETA A., 1991, INTERNATIONAL TAX AND PUBLIC FINANCE, V13, P322; ALFA A., 1977, REVISTA DE ADMINISTRACAO PUBLICA, V39, P119; KAPA D., 1995, NATIONAL TAX JOURNAL, V47, P11; ALFA C., 1975, NATIONAL TAX JOURNAL, V8, P250; GAMA E., 1986, NATIONAL TAX JOURNAL, V12, P115; IOTA B., 1993, NOVA ECONOMIA, V35, P257; BETA E., 1984, GESTION Y POLITICA PUBLICA, V32, P40; ZETA B., 2000, INTERNATIONAL TAX AND PUBLIC FINANCE, V47, P38; EPSILON F., 1978, NATIONAL TAX JOURNAL, V17, P138; BETA A., 1979, REVISTA DE ADMINISTRACAO PUBLICA, V4, P209; IOTA C., 1981, NATIONAL TAX JOURNAL, V21, P353",Article,English,Editora Sintetica,09275940
Iota C.; Iota C.; Eta F.; Epsilon D.,The political economy of Fiscal federalism: Fiscal capacity and the role of Tax effort [registro sintetico 034],1999,International Tax and Public Finance,1,1,1,56,10.5555/exemplo.0034,"Georgia State University, Atlanta, United States; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de subnational debt, tax effort em entes subnacionais.",subnational debt; tax effort; tax competition; state capacity,"DELTA F., 1973, NATIONAL TAX JOURNAL, V54, P318; ALFA F., 1971, PUBLIUS: THE JOURNAL OF FEDERALISM, V45, P286; ZETA F., 1990, PUBLIUS: THE JOURNAL OF FEDERALISM, V36, P343; ZETA D., 1988, NATIONAL TAX JOURNAL, V31, P383; TETA E., 1980, REVISTA DE ADMINISTRACAO PUBLICA, V35, P195; DELTA F., 1995, NOVA ECONOMIA, V56, P194; ZETA F., 1972, PUBLIUS: THE JOURNAL OF FEDERALISM, V34, P137; KAPA F., 1991, GESTION Y POLITICA PUBLICA, V21, P37; IOTA F., 1977, REVISTA DE ADMINISTRACAO PUBLICA, V49, P136; EPSILON D., 1997, NOVA ECONOMIA, V23, P268; KAPA D., 1988, INTERNATIONAL TAX AND PUBLIC FINANCE, V10, P34; IOTA C., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V34, P87; ZETA B., 1991, INTERNATIONAL TAX AND PUBLIC FINANCE, V10, P339; TETA B., 1990, GESTION Y POLITICA PUBLICA, V55, P334; ALFA C., 1982, JOURNAL OF PUBLIC ECONOMICS, V54, P220",Article,English,Editora Sintetica,09275940
Epsilon D.; Beta C.,Measuring State capacity across municipalities: Fiscal equalization and Regional inequality [registro sintetico 035],2005,Journal of Public Economics,1,1,1,43,10.5555/exemplo.0035,"Universidad Nacional Autonoma de Mexico, Mexico; Universidade Federal de Pernambuco, Recife, Brazil","Resumo sintetico para teste do pipeline. Trata de municipal finance, state capacity em entes subnacionais.",municipal finance; state capacity; tax effort; tax reform,"GAMA E., 1979, NATIONAL TAX JOURNAL, V44, P67; ZETA D., 1991, NOVA ECONOMIA, V16, P319; ZETA E., 1985, GESTION Y POLITICA PUBLICA, V25, P130; ALFA E., 1981, NATIONAL TAX JOURNAL, V37, P133; ALFA E., 1980, JOURNAL OF PUBLIC ECONOMICS, V46, P279; EPSILON C., 1983, INTERNATIONAL TAX AND PUBLIC FINANCE, V17, P225; BETA E., 1995, PUBLIUS: THE JOURNAL OF FEDERALISM, V55, P46; DELTA B., 1988, GESTION Y POLITICA PUBLICA, V19, P317; ZETA A., 1997, PUBLIUS: THE JOURNAL OF FEDERALISM, V25, P188; ALFA F., 1999, JOURNAL OF PUBLIC ECONOMICS, V27, P221; KAPA C., 1986, INTERNATIONAL TAX AND PUBLIC FINANCE, V25, P297; GAMA E., 1981, GESTION Y POLITICA PUBLICA, V46, P298; ZETA A., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P37; BETA D., 1987, PUBLIUS: THE JOURNAL OF FEDERALISM, V34, P213; TETA F., 1999, GESTION Y POLITICA PUBLICA, V2, P56; KAPA E., 1989, PUBLIUS: THE JOURNAL OF FEDERALISM, V45, P224; ETA D., 1980, NATIONAL TAX JOURNAL, V29, P204; TETA B., 1991, GESTION Y POLITICA PUBLICA, V53, P5; DELTA F., 1981, PUBLIUS: THE JOURNAL OF FEDERALISM, V35, P21; EPSILON E., 1985, GESTION Y POLITICA PUBLICA, V25, P395; TETA A., 1977, INTERNATIONAL TAX AND PUBLIC FINANCE, V55, P40; KAPA A., 1978, PUBLIUS: THE JOURNAL OF FEDERALISM, V6, P386; DELTA E., 1989, NATIONAL TAX JOURNAL, V53, P349",Article,English,Editora Sintetica,00472727
Teta A.; Iota F.; Eta E.,Measuring Tax competition across municipalities: Argentina and Fiscal federalism [registro sintetico 036],2008,Gestion y Politica Publica,1,1,1,7,10.5555/exemplo.0036,"University of Toronto, Toronto, Canada","Resumo sintetico para teste do pipeline. Trata de tax competition, tax reform em entes subnacionais.",tax competition; tax reform; fiscal federalism,"EPSILON A., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V17, P340; EPSILON E., 1990, REVISTA DE ADMINISTRACAO PUBLICA, V57, P216; ALFA C., 1987, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P195; ETA E., 1986, JOURNAL OF PUBLIC ECONOMICS, V13, P68; ALFA B., 1995, NOVA ECONOMIA, V24, P238; TETA F., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V24, P175; DELTA D., 2007, NOVA ECONOMIA, V36, P340; ALFA F., 1988, NATIONAL TAX JOURNAL, V35, P35; ETA E., 2004, JOURNAL OF PUBLIC ECONOMICS, V3, P141; DELTA D., 1987, INTERNATIONAL TAX AND PUBLIC FINANCE, V46, P108; KAPA E., 1992, PUBLIUS: THE JOURNAL OF FEDERALISM, V60, P373; TETA B., 2006, INTERNATIONAL TAX AND PUBLIC FINANCE, V4, P93; ETA F., 1981, NATIONAL TAX JOURNAL, V9, P37; KAPA D., 1983, NATIONAL TAX JOURNAL, V60, P370; IOTA F., 2003, INTERNATIONAL TAX AND PUBLIC FINANCE, V32, P114; EPSILON B., 1995, GESTION Y POLITICA PUBLICA, V11, P75; DELTA E., 1981, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P104; BETA A., 1991, INTERNATIONAL TAX AND PUBLIC FINANCE, V43, P132; TETA F., 1991, INTERNATIONAL TAX AND PUBLIC FINANCE, V56, P30; GAMA A., 1983, GESTION Y POLITICA PUBLICA, V29, P151; DELTA E., 2003, JOURNAL OF PUBLIC ECONOMICS, V46, P288; GAMA C., 2007, JOURNAL OF PUBLIC ECONOMICS, V21, P281; DELTA B., 2008, GESTION Y POLITICA PUBLICA, V43, P119; ETA A., 1988, PUBLIUS: THE JOURNAL OF FEDERALISM, V10, P329",Article,English,Editora Sintetica,14054981
Delta D.,Measuring Revenue sharing across municipalities: Tax competition and Intergovernmental transfers [registro sintetico 037],2011,Journal of Public Economics,1,1,1,9,10.5555/exemplo.0037,"Universidade Federal de Pernambuco, Recife, Brazil; Universidad Nacional Autonoma de Mexico, Mexico","Resumo sintetico para teste do pipeline. Trata de soft budget constraint, intergovernmental transfers em entes subnacionais.",soft budget constraint; intergovernmental transfers; tax competition,"BETA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V56, P156; KAPA E., 1998, GESTION Y POLITICA PUBLICA, V6, P104; GAMA D., 1989, GESTION Y POLITICA PUBLICA, V58, P392; DELTA E., 2010, JOURNAL OF PUBLIC ECONOMICS, V3, P298; KAPA A., 2011, NATIONAL TAX JOURNAL, V23, P100; GAMA F., 1990, NATIONAL TAX JOURNAL, V12, P171; ZETA D., 1996, INTERNATIONAL TAX AND PUBLIC FINANCE, V22, P381; ZETA B., 1984, GESTION Y POLITICA PUBLICA, V54, P153; BETA F., 1998, PUBLIUS: THE JOURNAL OF FEDERALISM, V7, P383; IOTA A., 2006, INTERNATIONAL TAX AND PUBLIC FINANCE, V39, P202; TETA A., 1982, NATIONAL TAX JOURNAL, V33, P297; BETA D., 2001, NOVA ECONOMIA, V9, P213; KAPA C., 1983, JOURNAL OF PUBLIC ECONOMICS, V47, P340; GAMA C., 1986, NOVA ECONOMIA, V6, P170; ALFA F., 2008, GESTION Y POLITICA PUBLICA, V31, P156; GAMA C., 1984, NATIONAL TAX JOURNAL, V57, P123; BETA B., 1996, JOURNAL OF PUBLIC ECONOMICS, V35, P278; BETA C., 1995, INTERNATIONAL TAX AND PUBLIC FINANCE, V11, P292; IOTA A., 1997, JOURNAL OF PUBLIC ECONOMICS, V24, P102; EPSILON D., 1998, INTERNATIONAL TAX AND PUBLIC FINANCE, V9, P123; IOTA E., 1988, NATIONAL TAX JOURNAL, V1, P55; ALFA D., 2006, GESTION Y POLITICA PUBLICA, V45, P293; DELTA F., 2004, INTERNATIONAL TAX AND PUBLIC FINANCE, V6, P385",Article,English,Editora Sintetica,00472727
Alfa D.; Eta E.; Iota A.,The political economy of Argentina: Fiscal decentralization and the role of Fiscal capacity [registro sintetico 038],2007,Revista de Administracao Publica,1,1,1,4,10.5555/exemplo.0038,"Universidade de Sao Paulo, Sao Paulo, Brazil","Resumo sintetico para teste do pipeline. Trata de fiscal equalization, fiscal decentralization em entes subnacionais.",fiscal equalization; fiscal decentralization; tax reform; municipal finance,"ALFA B., 1996, GESTION Y POLITICA PUBLICA, V45, P90; EPSILON C., 1979, GESTION Y POLITICA PUBLICA, V49, P237; KAPA B., 1977, JOURNAL OF PUBLIC ECONOMICS, V60, P211; ETA A., 1979, GESTION Y POLITICA PUBLICA, V16, P76; IOTA F., 1982, INTERNATIONAL TAX AND PUBLIC FINANCE, V52, P177; GAMA B., 1983, INTERNATIONAL TAX AND PUBLIC FINANCE, V44, P170; BETA A., 2002, PUBLIUS: THE JOURNAL OF FEDERALISM, V3, P255; IOTA C., 2006, NATIONAL TAX JOURNAL, V49, P309; BETA B., 2004, NOVA ECONOMIA, V4, P188; ETA A., 1997, NOVA ECONOMIA, V23, P299; GAMA D., 1998, GESTION Y POLITICA PUBLICA, V48, P255",Article,English,Editora Sintetica,00347612
